Market Data - All Shares
As of  07/10/2018 10:03

Name,Symbol ,ISIN,Index,Last Price (0.01 NIS),Change (%),Turnover(NIS thousands),Last Trade
A.L.D.,ALD,IL0010840036,,335.20,,,
ABETRANS-M,ABTR-M,IL0006410190,,38.40,,,
ABILITY,ABIL,KYG8789K1242,,1234.00,-1.28,,
ADGAR INV.,ADGR,IL0018200837,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150",605.30,,,
ADKA,ADKA,IL0011436438,"TA-Growth, TA-AllShare",570.60,,,
ADO,ADO,IL0005050161,"TA-RealEstate, TA-Growth, TA-AllShare",7859.00,-0.39,18.07,10:00
AERONAUTICS,ARCS,IL0011411423,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",890.00,0.68,5.13,09:49
AFCON HOLD,AFHL,IL0005780130,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",15310.00,-0.46,11.03,09:59
AFRICA,AFIL,IL0006110121,,14.60,-1.35,,
AFRICA INDUST-L,AFID-L,IL0008000114,,451.00,,,
AFRICA PROERT.,AFPR,IL0010913544,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",9200.00,-1.12,62.42,10:03
AFRICA RESIDENC,AFRE,IL0010979487,"TA-RealEstate, TA-Growth, TA-AllShare",6213.00,,,
AIRPORT CITY,ARPT,IL0010958358,"TA-35, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA Sector-Balance",4370.00,-0.68,282.70,10:02
ALBAAD,ALBA,IL0006250125,"TA-SME60, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",4342.00,,,
ALGOMIZER,ALMO,IL0007440113,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Rimon",360.80,-0.99,9.31,10:01
ALLIUM MEDICAL,ALMD,IL0011014508,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",119.20,-1.08,8.94,09:59
ALLOT COMMUNI,ALLT,IL0010996549,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",2245.00,-0.27,15.61,09:53
ALON GAS,ALGS,IL0011176885,"TA-Growth, TA-AllShare, TA Oil & Gas Index",4302.00,,,
ALONY HETZ,ALHE,IL0003900136,"TA-35, TA-125, TA-RealEstate, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance",3628.00,-0.85,292.06,10:02
ALROV PROPERT,ALRPR,IL0003870198,"TA-90, TA-125, TA-RealEstate, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",11290.00,-0.96,2.26,09:52
AMANET,AMAN,IL0006540129,"TA-Growth, TA-AllShare, TA-Rimon",2070.00,,,
AMIR MARK.,AMRK,IL0010922040,"TA-Growth, TA-AllShare",2806.00,0.07,10.10,10:02
AMOT,AMOT,IL0010972789,"TA-35, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance",1868.00,-1.16,287.21,10:02
ANALYST,ANLT,IL0010806136,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",1982.00,,,
ANCHIANO,ANCN,IL0011267882,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite",1169.00,2.36,0.41,09:45
ANGEL SALOMON,ANGL,IL0001800189,"TA-Growth, TA-AllShare, TA-Industrials",3096.00,,,
APIO AFRICA-M,APIO.M,IL0003830184,,2.20,,,
APOLLO POWER,APLP,IL0010821143,,115.90,2.57,,
APOSENSE,APOS,IL0011195935,,97.90,2.41,,
APPLY,APLY,IL0003630105,,320.60,,,
ARAD,ARD,IL0010916513,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",4520.00,,23.86,09:48
ARAD INVESTMENT,ARAD,IL0007310183,"TA-Growth, TA-AllShare",17930.00,-0.17,10.04,09:56
ARAN,ARAN,IL0010852650,"TA-Growth, TA-AllShare",1505.00,,,
ARENA GROUP,ARNA,IL0003660136,,2.00,,,
ARKO HOLDINGS,ARKO,IL0003100117,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",210.00,1.94,22.86,09:50
ARYT,ARYT,IL0005870147,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-Industrials",168.60,-1.98,31.43,09:50
ASHOT,ASHO,IL0003120172,"TA-Growth, TA-AllShare, TA-Industrials",1146.00,,,
ASHTROM GROUP,ASHG,IL0011323156,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150",1601.00,-2.73,137.33,10:02
ASHTROM PROP,ASPR,IL0002510175,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150",1548.00,-0.13,10.98,09:45
ASPEN GROUP,ASGR,IL0003130155,"TA-SME60, TA-RealEstate, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150",668.70,-0.03,2.01,09:51
ATREYU CAP,ATRY,IL0010961063,"TA-90, TA-125, TA-Finance Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",3929.00,,,
AUDIOCODES,AUDC,IL0010829658,"TA-90, TA-125, TA-Maala Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",3458.00,-0.86,168.34,09:58
AURA,AURA,IL0003730194,"TA-SME60, TA-RealEstate, TA-AllShare, TA-SME150",220.00,-3.17,24.43,09:47
AVERBUCH,AVER,IL0006750173,"TA-Growth, TA-AllShare",1862.00,2.08,2.05,10:02
AVGOL,AVGL,IL0011009573,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",411.00,,,
AVIATION LINKS,AVIA,IL0004130139,,1067.00,,,
AVIV,AVIV,IL0004440181,"TA-RealEstate, TA-Growth, TA-AllShare",1145.00,,,
AVIV ARLON,AVLN,IL0001060131,,229.40,,,
AVROT,AVRT,IL0002970106,,26.60,,,
AYALON  HOLD.,AYAL,IL0002090152,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",2305.00,0.26,2.47,10:01
AZORIM,AZRM,IL0007150118,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150",340.00,,,
AZRIELI GROUP,AZRG,IL0011194789,"TA-35, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA Sector-Balance",18040.00,-0.44,682.12,10:03
B COMMUNICATION,BCOM,IL0011076630,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Communication & InformationTechnology, TA-Rimon, TA-SME150, TA Sector-Balance",3520.00,,2.82,10:01
B.YAIR,BYAR,IL0010972292,"TA-RealEstate, TA-Growth, TA-AllShare",2651.00,,,
BABYLON,BBYL,IL0011016669,"TA-Growth, TA-AllShare",143.30,,,
BARAN,BRAN,IL0002860133,"TA-Growth, TA-AllShare",704.10,,,
